Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
2,2,0,43.6548421,-79.3792015,3099,"220 Victoria St, Toronto, O",M5B
2,2,0,43.6548421,-79.3792015,3099,"220 Victoria St, Toronto, O",M5B
2,2,0,43.6548421,-79.3792015,3099,"220 Victoria St, Toronto, O",M5B
2,1,0,43.6672109,-79.3891532,3099,"65 St Mary St, Toronto, O",M5S
2,2,0,43.6460058,-79.3899085,3050,"8 Mercer St, Toronto, O",M5V
2,2,0,43.6504185,-79.3817908,3000,"Temperance St, Toronto, O",M5H
1,1,1,43.6458091,-79.3756819,3000,"1 The Esplanade, Toronto, O",M5E
2,2,0,43.6504185,-79.3817908,3000,"Temperance St, Toronto, O",M5H
1,1,1,43.6458091,-79.3756819,3000,"1 The Esplanade, Toronto, O",M5E
1,1,1,43.6458091,-79.3756819,3000,"1 The Esplanade, Toronto, O",M5E
2,2,0,43.7614611,-79.4098016,3000,"5 Sheppard Ave E, Toronto, O",M2N
2,2,0,43.6444084,-79.3765617,3000,"18 Yonge St, Toronto, O",M5E
2,2,0,43.6551919,-79.3539119,3000,"170 Bayview Ave, Toronto, O",M5A
2,2,0,43.626966,-79.4784876,3000,"16 Brookers Ln, Etobicoke, O",M8V
2,2,0,43.6505597,-79.3820722,3000,"70 Temperance St, M5H4E8, Toronto, O",M5H
2,2,0,43.642282,-79.3828265,3000,"30 Grand Trunk Crescent, Toronto, O",M5J
1,1,0,43.6450503,-79.3913411,3000,", Toronto M5V3P5 O",M5V
2,1.5,0,43.6568825,-79.3835616,3000,"633 Bay St, Toronto, O",M5G
2,2,0,43.6551919,-79.3539119,3000,"170 Bayview Ave, Toronto, O",M5A
2,2,0,43.6444084,-79.3765617,3000,"18 Yonge St, M5E1Z8, TORO",M5E
2,2,0,43.6476244,-79.3968608,3000,"435 Richmond St West, M5V 0",M5V
2,2,0,43.6232891,-79.4836951,2999,"10 Park Lawn Rd, Etobicoke, O",M8Y
2,2,0,43.6551919,-79.3539119,2999,"170 Bayview Ave, Toronto, O",M5A
2,2,0,43.6551919,-79.3539119,2999,"170 Bayview Ave, Toronto, O",M5A
2,2,0,43.6551919,-79.3539119,2999,"170 Bayview Ave, Toronto, O",M5A
2,2,0,43.655111,-79.3756429,2990,"68 Shuter St, Toronto, O",M5B
1,1,1,43.64894,-79.378086,2950,"One King Street West, 1 King St W, Toronto, O",M5H
2,2,0,43.6601107,-79.3858871,2950,", Toronto M5G 0A6 O",M5G
1,1,1,43.6414082,-79.3912531,2950,"M5V3S2, Canada",M5V
2,2,0,43.6418064,-79.3789807,2950,"100 Harbour St, Toronto, O",M5J
2,2,0,43.6531574,-79.3686431,2950,"323 Richmond St E, Toronto, O",M5A
2,2,0,43.658897,-79.383798,2950,"44 Gerrard St W, Toronto, O",M5G
2,2,0,43.6601367,-79.3858692,2950,"770 Bay St, Toronto, O",M5G
2,2,0,43.6601367,-79.3858692,2950,"770 Bay St, Toronto, O",M5G
2,1,0,43.6676701,-79.389445,2915,"57 Charles Street West, Toronto, O",M4Y
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6567332,-79.375154,2900,", toronto M5B1E4 O",M5B
2,2,0,43.6567332,-79.375154,2900,", toronto M5B1E4 O",M5B
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
2,2,0,43.6410868,-79.3814048,2900,"10 York Street, Toronto, O",M5J
1,1,0,43.6468787,-79.3972126,2900,"29 Camden St #602, Toronto, O",M5V
2,1,0,43.6415686,-79.4246028,2889,"170 Sudbury St, Toronto, O",M6J
2,1,0,43.6415686,-79.4246028,2889,"170 Sudbury St, Toronto, O",M6J
2,1,0,43.6415686,-79.4246028,2889,"170 Sudbury St, Toronto, O",M6J
2,1,0,43.6678174,-79.3831111,2850,"55 Isabella St, Toronto, O",M4Y
2,2,0,43.6476244,-79.3968608,2850,"435 Richmond St W, Toronto, O",M5V
2,2,0,43.6505597,-79.3820722,2800,"70 Temperance St, Toronto, O",M5H
2,2,0,43.6606054,-79.3786354,2800,"89 McGill St, Toronto, O",M5B
2,2,0,43.6505597,-79.3820722,2800,"70 Temperance St, Toronto, O",M5H
2,2,0,43.6606054,-79.3786354,2800,"89 McGill St, Toronto, O",M5B
1,1,0,43.6400577,-79.379201,2800,", Toronto M5J 2H2 O",M5J
2,2,0,43.6421671,-79.3819283,2800,"M5J2Z2, Canada",M5J
2,2,0,43.6505597,-79.3820722,2800,"70 Temperance St, Toronto, O",M5H
2,2,0,43.6606054,-79.3786354,2800,"89 McGill St, Toronto, O",M5B
1,1,0,43.6400577,-79.379201,2800,", Toronto M5J 2H2 O",M5J
1,2,0,43.6505597,-79.3820722,2800,"70 Temperance St, Toronto, O",M5H
2,2,0,43.661198,-79.3816644,2800,", Toronto M5B1L4 O",M5B
1,1.5,0,43.6550554,-79.3847211,2800,"111 Elizabeth St, Toronto, O",M5G
2,2,0,43.6356261,-79.4268735,2800,"14 Thorburn, M6K1C5, Toronto, O",M6K
2,2,0,43.6421671,-79.3819283,2800,"M5J2Z2, Canada",M5J
2,2,0,43.6505597,-79.3820722,2800,"70 Temperance St, Toronto, O",M5H
2,1,0,43.6420242,-79.4230597,2800,"45 Lisgar St, Toronto, O",M6J
2,1,0,43.6605397,-79.3786617,2800,"99 McGill St, Toronto, O",M5B
2,2,0,43.637287,-79.396355,2800,", Toronto m5v3m8 O",M5V
1,1,0,43.6984043,-79.3948245,2800,"33 Davisville Avenue, Toronto, O",M4S
2,2,0,43.6601526,-79.3648897,2800,"25 Cole St, Toronto, O",M5A
2,2,0,43.6439877,-79.4014038,2800,"625 King St W, Toronto, O",M5V
2,3,0,43.6546239,-79.3790756,2800,"210 Victoria St #400, Toronto, O",M5B
2,1,0,43.6400685,-79.3999604,2800,"70 Queens Wharf Rd, Toronto, O",M5V
2,2,0,43.6363456,-79.404535,2800,"215 Fort York Blvd, Toronto, O",M5V
2,2,0,43.653978,-79.3541341,2800,"120 Bayview Ave, Toronto, O",M5A
1,1,0,43.6720333,-79.370728,2800,"Bloor and Parliament Street, M4X1R3, Toronto, O",M4X
2,2,0,43.6611027,-79.3821061,2800,"21 Carlton St, Toronto, O",M5B
